"","PA_MUNPCN","n","n_linhas","file"
"1","350000",33,1986936,"SIA_PA/PASP1501a.dbc"
"2","999999",245028,1986936,"SIA_PA/PASP1501a.dbc"
"3","350000",90,3634356,"SIA_PA/PASP1501b.dbc"
"4","999999",1987358,3634356,"SIA_PA/PASP1501b.dbc"
"5","350000",29,2071615,"SIA_PA/PASP1502a.dbc"
"6","999999",259388,2071615,"SIA_PA/PASP1502a.dbc"
"7","350000",78,3709690,"SIA_PA/PASP1502b.dbc"
"8","999999",2050911,3709690,"SIA_PA/PASP1502b.dbc"
"9","350000",47,2223455,"SIA_PA/PASP1503a.dbc"
"10","999999",274380,2223455,"SIA_PA/PASP1503a.dbc"
"11","350000",129,4209156,"SIA_PA/PASP1503b.dbc"
"12","999999",2276552,4209156,"SIA_PA/PASP1503b.dbc"
"13","350000",37,2134916,"SIA_PA/PASP1504a.dbc"
"14","999999",269881,2134916,"SIA_PA/PASP1504a.dbc"
"15","350000",112,4083418,"SIA_PA/PASP1504b.dbc"
"16","999999",2206580,4083418,"SIA_PA/PASP1504b.dbc"
"17","350000",57,2235104,"SIA_PA/PASP1505a.dbc"
"18","999999",273330,2235104,"SIA_PA/PASP1505a.dbc"
"19","350000",89,4259302,"SIA_PA/PASP1505b.dbc"
"20","999999",2254792,4259302,"SIA_PA/PASP1505b.dbc"
"21","350000",59,2218216,"SIA_PA/PASP1506a.dbc"
"22","999999",267843,2218216,"SIA_PA/PASP1506a.dbc"
"23","350000",101,4135960,"SIA_PA/PASP1506b.dbc"
"24","999999",2258598,4135960,"SIA_PA/PASP1506b.dbc"
"25","350000",43,2192912,"SIA_PA/PASP1507a.dbc"
"26","999999",265802,2192912,"SIA_PA/PASP1507a.dbc"
"27","350000",135,4098943,"SIA_PA/PASP1507b.dbc"
"28","999999",2209242,4098943,"SIA_PA/PASP1507b.dbc"
"29","350000",70,2347053,"SIA_PA/PASP1508a.dbc"
"30","999999",277436,2347053,"SIA_PA/PASP1508a.dbc"
"31","350000",104,4279004,"SIA_PA/PASP1508b.dbc"
"32","999999",2265695,4279004,"SIA_PA/PASP1508b.dbc"
"33","350000",31,2320203,"SIA_PA/PASP1509a.dbc"
"34","999999",278098,2320203,"SIA_PA/PASP1509a.dbc"
"35","350000",98,4224274,"SIA_PA/PASP1509b.dbc"
"36","999999",2255759,4224274,"SIA_PA/PASP1509b.dbc"
"37","350000",56,2258196,"SIA_PA/PASP1510a.dbc"
"38","999999",290057,2258196,"SIA_PA/PASP1510a.dbc"
"39","350000",113,4209153,"SIA_PA/PASP1510b.dbc"
"40","999999",2231608,4209153,"SIA_PA/PASP1510b.dbc"
"41","350000",37,2215203,"SIA_PA/PASP1511a.dbc"
"42","999999",268970,2215203,"SIA_PA/PASP1511a.dbc"
"43","350000",90,4040618,"SIA_PA/PASP1511b.dbc"
"44","999999",2115393,4040618,"SIA_PA/PASP1511b.dbc"
"45","350000",21,2194973,"SIA_PA/PASP1512a.dbc"
"46","999999",267456,2194973,"SIA_PA/PASP1512a.dbc"
"47","350000",93,3652801,"SIA_PA/PASP1512b.dbc"
"48","999999",1911043,3652801,"SIA_PA/PASP1512b.dbc"
"49","350000",20,2153828,"SIA_PA/PASP1601a.dbc"
"50","999999",249640,2153828,"SIA_PA/PASP1601a.dbc"
"51","350000",2196,3561890,"SIA_PA/PASP1601b.dbc"
"52","999999",1922697,3561890,"SIA_PA/PASP1601b.dbc"
"53","350000",20,2146170,"SIA_PA/PASP1602a.dbc"
"54","999999",260891,2146170,"SIA_PA/PASP1602a.dbc"
"55","350000",2790,3832623,"SIA_PA/PASP1602b.dbc"
"56","999999",2051531,3832623,"SIA_PA/PASP1602b.dbc"
"57","350000",34,2231202,"SIA_PA/PASP1603a.dbc"
"58","999999",267702,2231202,"SIA_PA/PASP1603a.dbc"
"59","350000",294,4256611,"SIA_PA/PASP1603b.dbc"
"60","999999",2245616,4256611,"SIA_PA/PASP1603b.dbc"
"61","350000",31,2248575,"SIA_PA/PASP1604a.dbc"
"62","999999",268606,2248575,"SIA_PA/PASP1604a.dbc"
"63","350000",2345,4098447,"SIA_PA/PASP1604b.dbc"
"64","999999",2110636,4098447,"SIA_PA/PASP1604b.dbc"
"65","350000",27,2366801,"SIA_PA/PASP1605a.dbc"
"66","999999",297751,2366801,"SIA_PA/PASP1605a.dbc"
"67","350000",2716,4238785,"SIA_PA/PASP1605b.dbc"
"68","999999",2140044,4238785,"SIA_PA/PASP1605b.dbc"
"69","350000",24,2293906,"SIA_PA/PASP1606a.dbc"
"70","999999",273715,2293906,"SIA_PA/PASP1606a.dbc"
"71","350000",2490,4421162,"SIA_PA/PASP1606b.dbc"
"72","999999",2176462,4421162,"SIA_PA/PASP1606b.dbc"
"73","350000",21,2303315,"SIA_PA/PASP1607a.dbc"
"74","999999",272976,2303315,"SIA_PA/PASP1607a.dbc"
"75","350000",2192,4245157,"SIA_PA/PASP1607b.dbc"
"76","999999",2104923,4245157,"SIA_PA/PASP1607b.dbc"
"77","350000",15,2413533,"SIA_PA/PASP1608a.dbc"
"78","999999",280940,2413533,"SIA_PA/PASP1608a.dbc"
"79","350000",1601,4590546,"SIA_PA/PASP1608b.dbc"
"80","999999",2276028,4590546,"SIA_PA/PASP1608b.dbc"
"81","350000",7,2357650,"SIA_PA/PASP1609a.dbc"
"82","999999",280674,2357650,"SIA_PA/PASP1609a.dbc"
"83","350000",2546,4502184,"SIA_PA/PASP1609b.dbc"
"84","999999",2125808,4502184,"SIA_PA/PASP1609b.dbc"
"85","350000",11,2312221,"SIA_PA/PASP1610a.dbc"
"86","999999",286069,2312221,"SIA_PA/PASP1610a.dbc"
"87","350000",2711,4363957,"SIA_PA/PASP1610b.dbc"
"88","999999",2056804,4363957,"SIA_PA/PASP1610b.dbc"
"89","350000",6,2292583,"SIA_PA/PASP1611a.dbc"
"90","999999",287760,2292583,"SIA_PA/PASP1611a.dbc"
"91","350000",2928,4168416,"SIA_PA/PASP1611b.dbc"
"92","999999",2048022,4168416,"SIA_PA/PASP1611b.dbc"
"93","350000",4,2291292,"SIA_PA/PASP1612a.dbc"
"94","999999",284519,2291292,"SIA_PA/PASP1612a.dbc"
"95","350000",2542,3955867,"SIA_PA/PASP1612b.dbc"
"96","999999",1906247,3955867,"SIA_PA/PASP1612b.dbc"
"97","350000",12,2254600,"SIA_PA/PASP1701a.dbc"
"98","999999",269866,2254600,"SIA_PA/PASP1701a.dbc"
"99","350000",2444,4035257,"SIA_PA/PASP1701b.dbc"
"100","999999",1933196,4035257,"SIA_PA/PASP1701b.dbc"
"101","350000",15,2248963,"SIA_PA/PASP1702a.dbc"
"102","999999",280100,2248963,"SIA_PA/PASP1702a.dbc"
"103","350000",2601,4140932,"SIA_PA/PASP1702b.dbc"
"104","999999",2040341,4140932,"SIA_PA/PASP1702b.dbc"
"105","350000",16,2331077,"SIA_PA/PASP1703a.dbc"
"106","999999",282239,2331077,"SIA_PA/PASP1703a.dbc"
"107","350000",3094,4653313,"SIA_PA/PASP1703b.dbc"
"108","999999",2144869,4653313,"SIA_PA/PASP1703b.dbc"
"109","350000",9,2289984,"SIA_PA/PASP1704a.dbc"
"110","999999",284740,2289984,"SIA_PA/PASP1704a.dbc"
"111","350000",2381,4420128,"SIA_PA/PASP1704b.dbc"
"112","999999",1986385,4420128,"SIA_PA/PASP1704b.dbc"
"113","350000",6,2400240,"SIA_PA/PASP1705a.dbc"
"114","999999",291290,2400240,"SIA_PA/PASP1705a.dbc"
"115","350000",2469,5062983,"SIA_PA/PASP1705b.dbc"
"116","999999",2286488,5062983,"SIA_PA/PASP1705b.dbc"
"117","350000",11,2398114,"SIA_PA/PASP1706a.dbc"
"118","999999",288043,2398114,"SIA_PA/PASP1706a.dbc"
"119","350000",2173,4778337,"SIA_PA/PASP1706b.dbc"
"120","999999",2134455,4778337,"SIA_PA/PASP1706b.dbc"
"121","350000",13,2410714,"SIA_PA/PASP1707a.dbc"
"122","999999",287356,2410714,"SIA_PA/PASP1707a.dbc"
"123","350000",2611,4707791,"SIA_PA/PASP1707b.dbc"
"124","999999",2075473,4707791,"SIA_PA/PASP1707b.dbc"
"125","350000",8,2459805,"SIA_PA/PASP1708a.dbc"
"126","999999",287233,2459805,"SIA_PA/PASP1708a.dbc"
"127","350000",2436,4783067,"SIA_PA/PASP1708b.dbc"
"128","999999",2128990,4783067,"SIA_PA/PASP1708b.dbc"
"129","350000",11,2380705,"SIA_PA/PASP1709a.dbc"
