"","PA_CIDPRI","n","n_linhas","file"
"1","0000",630353,1986936,"SIA_PA/PASP1501a.dbc"
"2","1111",636,1986936,"SIA_PA/PASP1501a.dbc"
"3","0000",3040161,3634356,"SIA_PA/PASP1501b.dbc"
"4","1111",505,3634356,"SIA_PA/PASP1501b.dbc"
"5","0000",632087,2071615,"SIA_PA/PASP1502a.dbc"
"6","1111",588,2071615,"SIA_PA/PASP1502a.dbc"
"7","0000",3051665,3709690,"SIA_PA/PASP1502b.dbc"
"8","1111",626,3709690,"SIA_PA/PASP1502b.dbc"
"9","0000",689784,2223455,"SIA_PA/PASP1503a.dbc"
"10","1111",502,2223455,"SIA_PA/PASP1503a.dbc"
"11","0000",3462646,4209156,"SIA_PA/PASP1503b.dbc"
"12","1111",581,4209156,"SIA_PA/PASP1503b.dbc"
"13","0000",649404,2134916,"SIA_PA/PASP1504a.dbc"
"14","1111",570,2134916,"SIA_PA/PASP1504a.dbc"
"15","0000",3354555,4083418,"SIA_PA/PASP1504b.dbc"
"16","1111",440,4083418,"SIA_PA/PASP1504b.dbc"
"17","0000",728660,2235104,"SIA_PA/PASP1505a.dbc"
"18","1111",601,2235104,"SIA_PA/PASP1505a.dbc"
"19","0000",3478280,4259302,"SIA_PA/PASP1505b.dbc"
"20","1111",516,4259302,"SIA_PA/PASP1505b.dbc"
"21","0000",672519,2218216,"SIA_PA/PASP1506a.dbc"
"22","1111",568,2218216,"SIA_PA/PASP1506a.dbc"
"23","0000",3408674,4135960,"SIA_PA/PASP1506b.dbc"
"24","1111",532,4135960,"SIA_PA/PASP1506b.dbc"
"25","0000",660006,2192912,"SIA_PA/PASP1507a.dbc"
"26","1111",628,2192912,"SIA_PA/PASP1507a.dbc"
"27","0000",3381194,4098943,"SIA_PA/PASP1507b.dbc"
"28","1111",507,4098943,"SIA_PA/PASP1507b.dbc"
"29","0000",722715,2347053,"SIA_PA/PASP1508a.dbc"
"30","1111",544,2347053,"SIA_PA/PASP1508a.dbc"
"31","0000",3484851,4279004,"SIA_PA/PASP1508b.dbc"
"32","1111",629,4279004,"SIA_PA/PASP1508b.dbc"
